Random waveform, random seed
Total number of intervals = 130 (125188, 103579, 67118, 128396, 126776, 19465, 48546, 15957, 65561, 29292, 11091, 178628, 152414, 64288, 162003, 44378, 146767, 171238, 23828, 50551, 122807, 171460, 84117, 43352, 59347, 67663, 10493, 98785, 167456, 157710, 157497, 88149, 93051, 48924, 81203, 75326, 173207, 43862, 53609, 59424, 149964, 176803, 105022, 169131, 133362, 115900, 111464, 101997, 66192, 134382, 95708, 76352, 88284, 73572, 91645, 38702, 134496, 92148, 102990, 130309, 77418, 153591, 66048, 165009, 159435, 103607, 177888, 141386, 38941, 113273, 63732, 97934, 30005, 90004, 111919, 59405, 179087, 164969, 20723, 6576, 79691, 43264, 154546, 21064, 136220, 19624, 92694, 176822, 78801, 133463, 65002, 82384, 153545, 170173, 143432, 130321, 100771, 123601, 28454, 85680, 68851, 24015, 36047, 124543, 112911, 106966, 117086, 90350, 156934, 67487, 29288, 112047, 98305, 144340, 158662, 69614, 77725, 73242, 146378, 114676, 9123, 7949, 44277, 29783, 24700, 173128, 118195, 6940, 64705, 170301)
Average QPS expected = 95384
Timestamp start: 1746537116585
Timestamp end: 1746538416827

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      243.1   236.8    54.7   101.6   112.1   187.3   235.4   265.8   287.9   315.5   362.0   565.3  1289.8  2232.6  6416.8 125335.2   125188
read      215.4   185.9    50.7    97.6   107.0   181.4   234.5   264.6   285.3   309.4   341.1   400.4   602.5  2219.1  7387.7 103590.2   103579
read      266.0   413.7    54.7    94.7   103.9   216.1   270.9   302.6   325.4   352.5   387.4   446.4  1435.3  6537.6 10547.6  67071.9    67118
read      224.9   219.9    54.7   100.4   110.3   179.4   225.4   253.7   274.1   297.8   329.2   392.1  1298.6  2518.9  6140.4 128474.5   128396
read      204.8   163.5    54.7    98.9   108.5   173.0   217.3   246.1   267.6   292.2   322.2   372.5   607.2  1724.3  4514.6 126665.2   126776
read      201.6   156.4    59.1   100.2   111.8   191.4   216.2   229.4   238.8   251.1   267.5   294.5   483.2  2201.3  5846.6  19454.6    19465
read      256.3   366.6    50.7    94.1   103.3   217.0   265.9   292.9   311.5   332.5   359.2   403.2  1217.2  5826.0  8389.5  48621.0    48546
read      204.2   226.0    54.7    99.1   111.3   188.2   212.0   224.9   233.8   245.8   261.6   290.7   623.7  3350.8  8020.0  15953.1    15957
read      260.0   357.6    54.7    94.4   103.5   216.9   272.4   304.9   327.4   353.5   386.0   437.3  1196.1  5681.3  9195.1  65461.4    65561
read      227.8   200.5    59.1    96.4   107.0   209.6   244.9   263.5   276.0   292.1   312.9   350.4   922.9  3000.0  6164.6  29292.7    29292
read      190.7   206.7    63.8    99.9   112.1   174.1   193.7   204.3   212.8   222.6   235.2   263.9   641.9  2751.2  8012.3  11103.5    11091
read      283.0   310.2    54.7   123.7   140.6   232.8   274.9   300.0   319.0   343.4   379.1   459.6  1531.0  3480.1  8076.1 178397.1   178628
read      215.0   234.9    54.7   104.1   114.6   181.2   220.6   245.0   263.8   286.0   314.5   360.6   668.3  3260.4  7846.9 152355.2   152414
read      240.5   317.1    54.7    95.1   104.0   206.1   255.6   281.9   301.1   324.5   356.8   408.1   866.3  5210.4  8462.0  64283.2    64288
read      239.7   269.8    54.7   108.9   120.7   195.6   236.2   261.8   280.5   303.9   335.9   396.8  1420.1  3355.2  7675.5 162063.1   162003
read      239.1   281.5    54.7    95.3   104.9   210.7   251.9   274.5   292.0   312.1   338.1   385.5  1038.1  4167.0  7855.8  44429.6    44378
read      260.2   302.3    54.7   105.4   117.1   197.0   242.5   269.3   289.6   314.9   352.5   485.6  1559.3  3144.5  7433.6 146801.4   146767
read      214.1   173.5    50.7   111.2   123.2   192.6   229.6   252.4   269.9   290.9   317.8   361.8   477.0  1868.5  6097.4 171079.9   171238
read      203.5   168.4    54.7    98.9   110.3   192.0   217.0   230.7   240.8   253.1   270.5   299.7   509.3  2816.2  5056.0  23769.2    23828
read      264.3   390.5    54.7    94.7   104.2   218.9   269.2   296.9   316.4   338.6   367.4   420.5  1497.8  5641.1  8063.9  50482.3    50551
read      288.5   329.0    54.7   103.7   115.4   200.9   253.2   286.4   313.6   355.2   485.2   929.3  1539.2  3130.7  7469.6 122742.4   122807
read      217.2   173.5    54.7   113.9   126.7   195.7   231.8   253.9   271.0   291.7   318.2   361.9   469.5  2600.6  5668.5 171502.9   171460
read      244.4   276.4    54.7    96.1   105.6   202.1   261.6   294.4   318.7   348.7   388.8   452.8   945.6  4297.4  8065.7  84116.1    84117
read      250.9   298.5    54.7    94.7   104.3   217.0   263.5   288.5   305.9   325.4   351.1   400.9  1255.7  4040.6  8046.1  43263.4    43352
read      271.5   449.6    50.7    94.1   103.2   219.0   272.3   303.1   324.6   349.0   381.0   435.6  1507.0  7340.4 10112.8  59383.6    59347
read      270.2   425.3    50.7    94.6   103.8   218.3   274.8   307.5   330.6   357.3   391.3   449.9  1404.7  7303.5  9834.9  67730.4    67663
read      191.4   234.2    59.1   100.4   112.6   172.1   191.6   202.0   211.0   221.1   234.9   264.8   767.1  2771.4 10390.2  10498.3    10493
read      236.4   262.8    54.7    97.5   107.2   191.7   248.8   280.2   303.5   332.9   374.0   447.9   932.9  3772.1  7913.4  98697.9    98785
read      214.6   172.3    59.1   111.4   123.3   191.3   227.9   250.4   267.8   288.7   315.8   359.8   476.7  2550.0  6229.0 167700.0   167456
read      211.8   201.9    59.1   107.6   118.5   184.8   223.5   247.7   266.1   287.9   315.5   358.9   481.2  3095.6  7811.8 157389.6   157710
read      218.5   174.4    54.7   109.7   121.1   192.7   232.5   257.3   275.5   297.9   327.5   373.5   518.1  2439.9  6144.4 157208.5   157497
read      232.3   240.5    50.7    97.3   107.0   196.3   255.2   287.2   309.8   336.2   370.2   427.7   647.1  3108.5  8713.9  88225.4    88149
read      227.5   268.9    54.7    97.7   107.2   189.2   247.4   280.2   303.8   332.0   369.3   434.3   678.8  2302.5  7633.2  93140.6    93051
read      245.2   232.6    54.7    96.4   106.6   220.3   269.2   296.2   315.4   337.4   365.2   409.2   878.2  3395.7  7223.1  48853.8    48924
read      260.3   296.7    59.1    97.5   107.8   215.3   280.3   318.6   345.4   375.9   413.5   471.4  1073.8  4109.6  9307.7  81268.8    81203
read      257.2   319.5    50.7    96.6   106.5   216.5   278.9   314.8   340.1   369.0   403.7   459.6   915.6  5915.2  9194.8  75319.3    75326
read      298.9   282.0    59.1   130.5   149.4   251.7   299.0   328.9   352.2   382.6   425.4   504.0  1489.8  3366.0  7749.2 173444.0   173207
read      235.2   200.2    54.7    97.8   108.3   216.2   260.9   284.8   301.7   320.9   345.6   387.5   682.9  3064.2  5901.1  43837.3    43862
read      252.6   299.0    54.7    95.4   105.4   221.5   275.4   306.0   326.6   349.3   378.3   424.5   925.2  4467.0  7786.7  53564.1    53609
read      256.4   295.4    54.7    95.3   105.0   221.2   277.6   310.0   332.3   357.4   389.0   437.5  1023.0  4635.9  7877.8  59506.4    59424
read      277.3   311.3    59.1   112.9   126.9   214.7   259.8   286.3   306.8   333.5   374.0   503.4  1582.3  3373.0  7636.5 150033.6   149964
read      248.5   195.0    54.7   121.8   137.5   223.7   267.8   293.7   313.7   338.0   370.2   423.3   549.5  3046.6  7037.2 176853.5   176803
read      224.7   189.3    54.7   100.1   110.1   185.9   240.3   273.6   298.4   328.1   366.7   432.2   672.0  2104.1  7157.6 104811.1   105022
read      236.7   184.3    59.1   117.2   131.3   212.2   253.9   278.9   297.6   320.4   351.7   401.8   544.3  2530.9  5614.7 169237.6   169131
read      212.7   167.8    54.7   103.4   113.6   181.9   224.5   251.3   271.6   295.5   325.9   372.3   614.9  2312.5  3543.6 133460.4   133362
read      240.8   233.8    54.7   102.0   112.4   188.3   239.3   272.2   297.7   330.5   379.6   519.6  1151.5  2287.1  8162.3 115896.2   115900
read      250.0   266.6    54.7   102.6   113.2   194.4   249.9   285.5   313.5   349.9   408.6   540.3  1163.3  2691.1 10206.3 111377.8   111464
read      237.3   276.5    54.7    99.7   109.9   189.7   246.4   280.3   305.7   336.3   377.5   455.8   933.7  3330.3 10352.7 101934.4   101997
read      251.0   282.8    50.7    96.0   105.8   217.0   273.9   306.6   329.4   355.4   388.0   436.3   892.4  4242.6  8787.7  66260.7    66192
read      252.6   290.5    54.7   107.1   118.6   196.7   242.4   269.8   290.3   315.4   350.1   429.6  1512.0  3211.4  7741.6 134476.8   134382
read      224.3   182.5    54.7    99.3   109.2   189.1   246.7   279.9   303.9   331.6   366.5   424.5   607.1  1978.2  8067.5  95853.4    95708
